@relation R15-weka.filters.unsupervised.attribute.NumericToNominal-Rlast_clustered

@attribute Instance_number numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute label {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7}

@data
203,8.068,9.202,6,cluster1
204,8.416,8.654,6,cluster1
205,8.71,8.458,6,cluster1
206,8.056,8.434,6,cluster1
207,7.304,9.266,6,cluster1
208,8.118,8.608,6,cluster1
209,7.616,9.446,6,cluster1
210,8.092,8.956,6,cluster1
211,8.368,8.968,6,cluster1
212,8.022,9.334,6,cluster1
213,8.32,9.062,6,cluster1
214,7.832,8.952,6,cluster1
215,7.704,8.672,6,cluster1
216,8.236,9.108,6,cluster1
217,8.37,8.904,6,cluster1
218,8.352,8.896,6,cluster1
219,8.046,9.228,6,cluster1
220,7.71,9.538,6,cluster1
221,8.534,8.55,6,cluster1
222,7.996,9.172,6,cluster1
223,8.046,9.204,6,cluster1
224,8.622,9.174,6,cluster1
225,7.776,8.898,6,cluster1
226,8.226,9.038,6,cluster1
227,7.904,9.194,6,cluster1
228,7.874,8.856,6,cluster1
229,7.992,8.952,6,cluster1
230,8.262,9.468,6,cluster1
231,8.088,9.294,6,cluster1
232,8.034,9.792,6,cluster1
233,8.352,9.016,6,cluster1
234,7.85,9.334,6,cluster1
235,8.404,9.366,6,cluster1
236,7.892,8.808,6,cluster1
237,8.202,9.232,6,cluster1
238,7.668,9.026,6,cluster1
239,8.242,9.308,6,cluster1
240,9.432,8.61,7,cluster1
241,10.066,8.19,7,cluster1
242,9.146,8.044,7,cluster1
243,9.662,7.866,7,cluster1
244,9.6,7.874,7,cluster1
245,8.618,8.552,7,cluster1
246,9.334,7.658,7,cluster1
247,9.424,7.83,7,cluster1
248,8.892,8.166,7,cluster1
249,9.386,7.746,7,cluster1
250,9.878,8.054,7,cluster1
251,9.558,7.948,7,cluster1
252,9.222,8.002,7,cluster1
253,9.52,8.282,7,cluster1
254,9.76,7.932,7,cluster1
255,9.568,8.052,7,cluster1
256,9.736,7.552,7,cluster1
257,9.584,8.478,7,cluster1
258,9.358,8.242,7,cluster1
259,9.404,7.79,7,cluster1
260,9.458,8.54,7,cluster1
261,9.482,7.766,7,cluster1
262,8.844,8.024,7,cluster1
263,9.29,8.472,7,cluster1
264,9.274,7.566,7,cluster1
265,9.11,8.014,7,cluster1
266,9.542,7.688,7,cluster1
267,9.432,8.122,7,cluster1
268,9.786,8.066,7,cluster1
269,9.382,7.664,7,cluster1
270,9.404,8.228,7,cluster1
271,9.146,8.158,7,cluster1
272,9.622,8.004,7,cluster1
273,10.286,7.892,7,cluster1
274,9.43,7.676,7,cluster1
275,9.44,8.058,7,cluster1
276,9.788,7.684,7,cluster1
277,9.586,7.91,7,cluster1
278,9.694,7.448,7,cluster1
279,9.576,7.866,7,cluster1
280,11.442,8.688,8,cluster1
281,11.466,8.558,8,cluster1
282,10.674,8.936,8,cluster1
283,11.23,8.126,8,cluster1
284,11.614,8.588,8,cluster1
285,11.59,8.496,8,cluster1
286,11.536,7.586,8,cluster1
287,11.638,8.266,8,cluster1
288,11.16,8.43,8,cluster1
289,10.904,8.532,8,cluster1
290,11.284,8.742,8,cluster1
291,11.25,8.192,8,cluster1
292,10.84,8.218,8,cluster1
293,11.798,8.836,8,cluster7
294,11.51,8.094,8,cluster1
295,10.932,7.796,8,cluster1
296,11.404,8.206,8,cluster1
297,11.088,8.326,8,cluster1
298,11.334,8.17,8,cluster1
299,11.272,8.394,8,cluster1
300,11.59,8.408,8,cluster1
301,11.212,8.516,8,cluster1
302,11.566,8.024,8,cluster1
303,11.246,8.584,8,cluster1
304,11.252,8.566,8,cluster1
305,10.78,8.294,8,cluster1
306,11.04,8.322,8,cluster1
307,11.198,7.886,8,cluster1
308,11.168,8.262,8,cluster1
309,11.88,8.08,8,cluster1
310,11.356,8.586,8,cluster1
311,11.182,8.342,8,cluster1
312,10.836,8.664,8,cluster1
313,11.696,8.906,8,cluster7
314,11.282,8.28,8,cluster1
315,10.718,8.534,8,cluster1
316,10.444,8.684,8,cluster1
317,11.124,8.618,8,cluster1
318,11.392,8.94,8,cluster1
319,11.212,8.308,8,cluster1
320,16.674,9.638,9,cluster4
321,16.162,10.302,9,cluster4
322,16.612,10.218,9,cluster4
323,16.1,9.702,9,cluster4
324,16.404,10.072,9,cluster4
325,15.93,10.106,9,cluster4
326,16.128,9.888,9,cluster4
327,16.41,10.188,9,cluster4
328,15.982,9.92,9,cluster4
329,16.224,10.02,9,cluster4
330,16.296,9.458,9,cluster4
331,16.586,10.174,9,cluster4
332,16.314,10.716,9,cluster4
333,16.278,9.452,9,cluster4
334,16.622,9.652,9,cluster4
335,16.22,9.494,9,cluster4
336,16.626,10.162,9,cluster4
337,16.982,10.596,9,cluster4
338,16.27,10.128,9,cluster4
339,16.202,9.7,9,cluster4
340,16.532,9.776,9,cluster4
341,17.124,9.726,9,cluster4
342,16.47,9.698,9,cluster4
343,16.004,10.28,9,cluster4
344,16.366,9.796,9,cluster4
345,16.268,9.522,9,cluster4
346,16.13,9.748,9,cluster4
347,16.67,10.498,9,cluster4
348,16.488,10.542,9,cluster4
349,16.57,10.21,9,cluster4
350,16.456,10.112,9,cluster4
351,16.482,9.986,9,cluster4
352,16.584,9.754,9,cluster4
353,16.1,9.93,9,cluster4
354,16.226,9.67,9,cluster4
355,16.448,9.566,9,cluster4
356,16.572,9.624,9,cluster4
357,16.436,9.41,9,cluster4
358,16.502,9.98,9,cluster4
359,16.418,9.966,9,cluster4
360,14.362,14.644,10,cluster3
361,14.138,14.63,10,cluster3
362,14.064,15.072,10,cluster3
363,13.692,14.958,10,cluster3
364,14.238,15.296,10,cluster3
365,13.73,15.128,10,cluster3
366,13.952,14.868,10,cluster3
367,13.986,14.77,10,cluster3
368,13.916,14.996,10,cluster3
369,13.874,14.954,10,cluster3
370,14.168,15.276,10,cluster3
371,14.278,15.152,10,cluster3
372,14.098,14.9,10,cluster3
373,13.764,15.212,10,cluster3
374,13.948,14.218,10,cluster3
375,14.13,14.838,10,cluster3
376,13.362,14.932,10,cluster3
377,13.546,14.844,10,cluster3
378,14.13,15.11,10,cluster3
379,13.816,14.602,10,cluster3
380,14.386,14.686,10,cluster3
381,13.786,14.726,10,cluster3
382,14.204,14.822,10,cluster3
383,13.856,15.206,10,cluster3
384,14.074,14.384,10,cluster3
385,13.68,14.988,10,cluster3
386,14.204,14.976,10,cluster3
387,13.388,15.39,10,cluster3
388,13.708,15.048,10,cluster3
389,14.114,15.366,10,cluster3
390,14.4,15.04,10,cluster3
391,14.194,15.04,10,cluster3
392,13.888,15.436,10,cluster3
393,13.958,15.322,10,cluster3
394,13.922,14.802,10,cluster3
395,13.652,14.602,10,cluster3
396,14.294,14.996,10,cluster3
397,13.81,14.526,10,cluster3
398,13.408,15.34,10,cluster3
399,13.834,14.778,10,cluster3
400,8.826,16.474,11,cluster6
401,8.33,16.488,11,cluster6
402,8.468,16.378,11,cluster6
403,8.904,15.846,11,cluster6
404,8.662,16.354,11,cluster6
405,8.684,16.776,11,cluster6
406,8.33,16.066,11,cluster6
407,8.904,16.402,11,cluster6
408,8.778,16.486,11,cluster6
409,8.81,16.458,11,cluster6
410,8.398,16.576,11,cluster6
411,8.542,15.918,11,cluster6
412,9.064,16.456,11,cluster6
413,9.152,16.094,11,cluster6
414,8.614,15.908,11,cluster6
415,8.566,17.012,11,cluster6
416,8.12,16.11,11,cluster6
417,8.844,16.026,11,cluster6
418,8.398,16.282,11,cluster6
419,8.808,15.59,11,cluster6
420,8.502,16.166,11,cluster6
421,8.942,16.19,11,cluster6
422,8.376,16.112,11,cluster6
423,8.518,15.84,11,cluster6
424,8.878,16.004,11,cluster6
425,8.582,16.774,11,cluster6
426,8.248,16.154,11,cluster6
427,8.588,16.24,11,cluster6
428,8.706,16.374,11,cluster6
429,8.524,16.392,11,cluster6
430,8.458,16.452,11,cluster6
431,8.83,16.36,11,cluster6
432,8.616,16.112,11,cluster6
433,8.844,16.362,11,cluster6
434,8.468,15.928,11,cluster6
435,8.62,16.674,11,cluster6
436,8.974,16.53,11,cluster6
437,8.826,16.084,11,cluster6
438,8.104,15.962,11,cluster6
439,8.386,16.24,11,cluster6
440,4.576,12.878,12,cluster6
441,4.46,13.16,12,cluster6
442,3.632,12.862,12,cluster6
443,4.238,12.506,12,cluster6
444,4.348,13.268,12,cluster6
445,3.788,12.372,12,cluster6
446,4.19,12.772,12,cluster6
447,3.86,12.706,12,cluster6
448,3.978,13.308,12,cluster6
449,4.336,12.854,12,cluster6
450,4.218,13.03,12,cluster6
451,4.25,13.002,12,cluster6
452,4.334,13.06,12,cluster6
453,4.654,12.566,12,cluster6
454,4.38,12.792,12,cluster6
455,3.968,13.016,12,cluster6
456,4.614,12.526,12,cluster6
457,3.95,12.67,12,cluster6
458,4.038,12.67,12,cluster6
459,4.426,12.238,12,cluster6
460,4.066,12.514,12,cluster6
461,4.248,12.392,12,cluster6
462,4.61,12.95,12,cluster6
463,4.328,12.99,12,cluster6
464,4.5,12.522,12,cluster6
465,4.176,12.71,12,cluster6
466,4.492,12.464,12,cluster6
467,4.134,12.834,12,cluster6
468,4.316,12.764,12,cluster6
469,4.454,12.084,12,cluster6
470,4.052,12.934,12,cluster6
471,4.26,13.118,12,cluster6
472,4.058,13.718,12,cluster6
473,4.24,12.626,12,cluster6
474,3.838,12.232,12,cluster6
475,4.128,13.4,12,cluster6
476,3.764,12.38,12,cluster6
477,4.424,13.186,12,cluster6
478,4.234,12.994,12,cluster6
479,5.13,13.296,12,cluster6
480,3.9,6.742,13,cluster5
481,3.994,7.206,13,cluster5
482,4.278,7.222,13,cluster5
483,4.172,6.848,13,cluster5
484,3.882,6.894,13,cluster5
485,3.936,6.994,13,cluster5
486,4.162,6.87,13,cluster5
487,3.762,7.1,13,cluster5
488,4.256,7.612,13,cluster5
489,4.55,6.822,13,cluster5
490,4.062,6.984,13,cluster5
491,4.026,7.23,13,cluster5
492,4.364,7.184,13,cluster5
493,4.292,7.208,13,cluster5
494,4.288,6.91,13,cluster5
495,4.018,7.062,13,cluster5
496,4.07,7.104,13,cluster5
497,4.548,7.654,13,cluster5
498,4.402,7.082,13,cluster5
499,3.692,7.49,13,cluster5
500,4.888,7.194,13,cluster5
501,4.456,7.146,13,cluster5
502,4.732,7.154,13,cluster5
503,4.088,7.212,13,cluster5
504,4.502,6.928,13,cluster5
505,3.402,7.434,13,cluster5
506,4.246,6.692,13,cluster5
507,4.166,7.256,13,cluster5
508,4.852,6.83,13,cluster5
509,4.398,7.428,13,cluster5
510,5.016,7.054,13,cluster5
511,4.25,6.76,13,cluster5
512,3.738,7.082,13,cluster5
513,4.254,7.264,13,cluster5
514,4.122,7.238,13,cluster5
515,3.878,7.232,13,cluster5
516,4.55,7.29,13,cluster5
517,4.03,7.126,13,cluster5
518,4.412,7.022,13,cluster5
519,4.276,7.244,13,cluster5
520,8.376,3.788,14,cluster0
521,8.81,3.864,14,cluster0
522,8.218,3.548,14,cluster0
523,8.374,3.748,14,cluster0
524,8.102,4.3,14,cluster0
525,8.386,3.952,14,cluster0
526,8.858,3.274,14,cluster0
527,8.884,3.504,14,cluster0
528,8.294,3.38,14,cluster0
529,8.38,3.178,14,cluster0
530,8.738,4.294,14,cluster0
531,9.1,3.84,14,cluster0
532,9.086,3.6,14,cluster0
533,8.616,3.45,14,cluster0
534,8.624,3.698,14,cluster0
535,8.632,3.82,14,cluster0
536,8.286,3.704,14,cluster0
537,8.816,3.58,14,cluster0
538,8.722,3.854,14,cluster0
539,8.298,3.378,14,cluster0
540,9.014,4.034,14,cluster0
541,8.87,3.554,14,cluster0
542,8.562,3.662,14,cluster0
543,8.6,3.828,14,cluster0
544,8.94,3.836,14,cluster0
545,8.768,4.32,14,cluster0
546,8.838,3.926,14,cluster0
547,8.288,3.466,14,cluster0
548,8.652,3.782,14,cluster0
549,8.376,3.956,14,cluster0
550,7.724,3.414,14,cluster0
551,8.374,4.136,14,cluster0
552,8.6,3.712,14,cluster0
553,9.026,3.788,14,cluster0
554,8.534,3.252,14,cluster0
555,8.874,3.602,14,cluster0
556,8.796,3.888,14,cluster0
557,8.592,3.988,14,cluster0
558,8.98,4.014,14,cluster0
559,8.562,3.856,14,cluster0
560,13.894,4.16,15,cluster2
561,14.278,5.26,15,cluster2
562,14.364,4.748,15,cluster2
563,14.108,4.918,15,cluster2
564,13.998,5.498,15,cluster2
565,14.4,5.296,15,cluster2
566,14.3,5.368,15,cluster2
567,13.958,5.35,15,cluster2
568,13.842,4.984,15,cluster2
569,13.85,4.246,15,cluster2
570,13.978,5.356,15,cluster2
571,14.366,5.104,15,cluster2
572,14.272,4.94,15,cluster2
573,14.336,5.176,15,cluster2
574,14.744,5.248,15,cluster2
575,14.306,5.06,15,cluster2
576,13.986,5.05,15,cluster2
577,14.44,5.33,15,cluster2
578,14.004,4.92,15,cluster2
579,13.332,4.592,15,cluster2
580,14.218,5.544,15,cluster2
581,14.154,4.768,15,cluster2
582,13.468,4.92,15,cluster2
583,13.67,5.406,15,cluster2
584,13.664,5.016,15,cluster2
585,14.12,4.87,15,cluster2
586,13.836,4.51,15,cluster2
587,14.204,5.064,15,cluster2
588,14.004,5.228,15,cluster2
589,13.266,4.858,15,cluster2
590,13.668,5.34,15,cluster2
591,14.528,4.812,15,cluster2
592,14.318,4.592,15,cluster2
593,14.018,5.182,15,cluster2
594,14.37,4.884,15,cluster2
595,14.198,4.804,15,cluster2
596,14.32,4.59,15,cluster2
597,13.636,5.218,15,cluster2
598,14.41,4.656,15,cluster2
599,14.02,5.614,15,cluster2
